skill,n_train,n_test,mae_persistence,rmse_persistence,mae_ma4,rmse_ma4,arima_order,mae_arima,rmse_arima,arima_aic,mae_gb,rmse_gb
javascript,20,4,0.10858,0.13005,0.10858,0.12835,"(1, 0, 0)",0.10903,0.1288,-34.29,0.03973,0.05745
sql,20,4,0.13641,0.15248,0.12104,0.13342,"(1, 0, 0)",0.10626,0.11699,-52.78,0.01895,0.02557
php,20,4,0.08661,0.08829,0.08819,0.11111,"(1, 0, 0)",0.0883,0.09784,-50.93,0.02495,0.02781
react,20,4,0.08467,0.09047,0.07105,0.0836,"(1, 0, 0)",0.07238,0.08628,-53.32,0.00651,0.01003
java,20,4,0.10086,0.11313,0.05044,0.063,"(1, 0, 0)",0.04131,0.05072,-50.59,0.01591,0.0199
python,20,4,0.1405,0.15097,0.11096,0.12396,"(1, 0, 0)",0.07759,0.09228,-36.66,0.01269,0.01711
mysql,20,4,0.10223,0.10877,0.10223,0.12849,"(1, 0, 0)",0.10249,0.11037,-34.09,0.01812,0.02149
vue,20,4,0.11919,0.12726,0.09695,0.10748,"(1, 0, 0)",0.07317,0.0993,-44.66,0.00879,0.01077
postgresql,20,4,0.1201,0.14859,0.08508,0.10091,"(1, 0, 0)",0.08392,0.09132,-35.24,0.01311,0.01543
docker,20,4,0.1008,0.13197,0.09986,0.12291,"(1, 0, 0)",0.09857,0.11819,-30.16,0.01552,0.01839
