profession,total_vacancies,avg_weekly_vacancies,std_weekly_vacancies,avg_salary,high_demand_weeks
Developer,1012,36.142857142857146,11.309498746839397,764231.5693888261,2
Programmer,889,31.75,10.152996273678689,716769.575223252,1
Data Analyst,675,24.107142857142858,8.098190404694607,677993.9831185129,6
QA Engineer,620,22.142857142857142,8.012556283799709,628236.9792322589,6
Recruiter,615,21.964285714285715,6.635941100229438,486001.7605957144,8
Designer,579,20.678571428571427,7.616033630044464,612995.308094263,9
Data Scientist,545,19.464285714285715,6.641520033831739,856080.7195166321,4
HR Manager,530,18.928571428571427,6.21186780182109,557118.2337787591,6
Software Engineer,514,18.357142857142858,6.859512377196359,771368.5279185956,5
DevOps Engineer,481,17.178571428571427,6.26603762462591,855062.923556758,6
Product Manager,479,17.107142857142858,6.361570302965827,867836.6524324882,8
Test Engineer,437,15.607142857142858,5.915073561511746,594299.4749837756,3
IT Specialist,433,15.464285714285714,6.978709117908622,506603.5455227341,5
ML Engineer,359,12.821428571428571,4.884242019578893,940237.407867331,9
