profession,current_vacancies,predicted_vacancies,avg_historical,demand_level,change_pct,trend
Developer,103,146,179,Средний,41.8,📈 Рост
Programmer,91,113,154,Низкий,23.9,📈 Рост
Data Analyst,73,83,118,Низкий,13.4,📈 Рост
DevOps Engineer,60,82,96,Средний,36.3,📈 Рост
Recruiter,58,82,100,Средний,41.5,📈 Рост
Designer,58,80,101,Низкий,37.9,📈 Рост
HR Manager,53,77,98,Низкий,44.7,📈 Рост
Software Engineer,55,77,98,Низкий,39.5,📈 Рост
Data Scientist,57,75,87,Средний,31.5,📈 Рост
Product Manager,52,74,92,Средний,43.2,📈 Рост
QA Engineer,63,70,114,Низкий,11.0,📈 Рост
Test Engineer,50,70,93,Низкий,40.6,📈 Рост
IT Specialist,47,66,86,Низкий,40.9,📈 Рост
ML Engineer,38,57,69,Средний,49.9,📈 Рост
