skill,total_vacancies,avg_weekly_vacancies,avg_salary,high_demand_weeks,avg_demand_index,cluster,cluster_label
angular,72,3.130434782608696,185271.73913043478,0,0.3104342215655644,0,High Demand
aws,26,1.625,72854.16666666667,1,0.2931163642216076,0,High Demand
azure,11,1.0,89545.45454545454,0,0.2831086376628248,0,High Demand
big data,11,1.375,93750.0,0,0.2903909537824566,0,High Demand
c#,140,5.833333333333333,385682.2916666667,9,0.35833104320733794,2,Niche
c++,40,2.3529411764705883,146691.17647058822,2,0.30204505148736976,0,High Demand
django,87,3.625,385277.77777777775,8,0.3568503584805211,2,Niche
docker,151,6.291666666666667,707916.6666666666,17,0.45011804091117585,2,Niche
excel,86,3.739130434782609,246847.8260869565,3,0.3123724521576502,0,High Demand
express,20,1.4285714285714286,817857.1428571428,8,0.3775577751804839,2,Niche
fastapi,22,1.8333333333333333,325000.0,3,0.32424972997887697,0,High Demand
figma,100,4.166666666666667,325190.9722222222,6,0.3321576253588208,0,High Demand
flask,18,1.5,29166.666666666668,0,0.28707571121372094,0,High Demand
git,130,5.416666666666667,446909.72222222225,11,0.39282305510476284,2,Niche
golang,85,3.6956521739130435,265543.47826086957,6,0.34321895374314193,0,High Demand
java,268,11.166666666666666,446399.30555555556,20,0.44194858443730634,1,Growing
javascript,606,25.25,445942.34088351735,23,0.581338649228301,1,Growing
jenkins,17,1.2142857142857142,0.0,1,0.2966740892857051,0,High Demand
jira,38,1.8095238095238095,11904.761904761905,0,0.3002161552985465,0,High Demand
kafka,20,1.4285714285714286,28571.428571428572,0,0.2996401300647888,0,High Demand
kotlin,83,3.608695652173913,220108.69565217392,7,0.3475897082878607,0,High Demand
kubernetes,64,2.6666666666666665,426493.05555555556,11,0.3678762222343736,2,Niche
linux,144,6.260869565217392,452760.8804347826,14,0.40779240275711076,2,Niche
machine learning,33,1.736842105263158,285263.15789473685,0,0.2914997417633203,0,High Demand
mongodb,29,1.7058823529411764,808823.5294117647,10,0.38035700481116363,2,Niche
mysql,212,8.833333333333334,540549.3551587302,19,0.4413165271118629,2,Niche
nodejs,85,3.6956521739130435,521434.7826086957,12,0.3723121365675212,2,Niche
oracle,99,4.125,225833.33333333334,7,0.3473090820232803,0,High Demand
php,322,13.416666666666666,494370.3553391053,21,0.4750012050966725,1,Growing
postgresql,152,6.333333333333333,535559.0277777778,15,0.406104464429262,2,Niche
postman,10,1.4285714285714286,35714.28571428572,0,0.30037525974833124,0,High Demand
power bi,13,1.3,38500.0,0,0.28006367277346284,0,High Demand
powerpoint,13,1.3,270000.0,0,0.2910158455416093,0,High Demand
python,217,9.041666666666666,539079.8611111111,16,0.4272648617022147,2,Niche
react,272,11.333333333333334,437262.4007936508,21,0.4438499396657111,1,Growing
redis,46,2.4210526315789473,530964.9122807018,8,0.3654840361382269,2,Niche
ruby,25,1.4705882352941178,133823.5294117647,2,0.31392497687278254,0,High Demand
scala,11,1.8333333333333333,250000.0,0,0.3114472270739229,0,High Demand
spring,146,6.083333333333333,304062.5,10,0.37073965894715516,2,Niche
sql,332,13.833333333333334,422642.2371031746,20,0.45447718081464594,1,Growing
sqlite,10,1.1111111111111112,164444.44444444444,0,0.2651027206130348,0,High Demand
swift,50,2.7777777777777777,80972.22222222222,1,0.31752123153403294,0,High Demand
typescript,133,5.541666666666667,518741.31944444444,12,0.38546438677562395,2,Niche
vue,156,6.5,453674.7685185185,12,0.3971733970480889,2,Niche
